store,aug,a6,trend,base,factor,task,note,chg
D_ABA-ST. MICHAEL ROAD OFF ASA- ABA-ABIASTATE,362.766,342.7,0.898,302.8145333333334,1.051,320,"下滑店,补偿一半",-11.788866652332363
D_IKOTUN2-AKANO DALEKO-IKOTUN2-LAGOS,345.359,306.5,0.971,270.85405000000003,1.014,280,"下滑店,补偿一半",-18.924944767618623
D_SANGO-AKINBIYI 22B-ABEOKUTA EXPRESS-SANGO,359.47,328.3,0.831,290.14816666666667,1.085,320,"下滑店,补偿一半",-10.980053968342284
D_MSL IBADAN-IWO ROAD-IBADAN-IBADAN,366.68,344.8,1.067,304.7292166666667,1.017,310,"上升店,小幅上调",-15.45761972291917
D_ILORIN2-IBRAHIM TAIWO RD-KWARA,319.094,286.3,0.97,253.03276666666667,1.015,260,"下滑店,补偿一半",-18.51930779018095
D_ABUJA-PLOT750 OLD BANEX-WUSE-ABUJA,347.11,354.3,1.07,313.1243666666667,1.018,320,"上升店,小幅上调",-7.810204258016196
D_MSL SABO-COMMERCIAL-YABA-LAGOS,336.501,327.0,0.984,288.9699,1.008,300,"下滑店,补偿一半",-10.847218878992926
D_MSL OKOTA-AGO PALACE WAY-OKOTA-LAGOS,314.15,303.8,1.012,268.4975166666667,1.003,270,"上升店,小幅上调",-14.053795957345216
D_MSL AJAH_AFOLABI_ALESH HOTEL AJAH_LAGOS,317.034,,,278.90786042807366,1.0,280,"无历史,季节换算",-11.68139694796142
D_MSL LOKOJA-INTL MARKET-KOGI,331.866,317.7,0.865,280.72203333333334,1.068,300,"下滑店,补偿一半",-9.60206830467718
D_EGBEDA-AKOWOJO ROAD-AKOWOJO-LAGOS,292.829,247.2,0.68,218.42118333333335,1.15,260,"下滑店,补偿一半",-11.21097978683806
D_IBADAN2-IWO RD-IBADAN-OYO,290.254,274.0,1.163,242.1338,1.041,260,"上升店,小幅上调",-10.423284433633995
D_GBAGADA-DIYA OWORONSHOKI-GBAGADA-LAGOS,292.52,262.0,0.807,231.5294,1.097,260,"下滑店,补偿一半",-11.117188568303016
D_MSL IYANAIPAJA-AKINYEMI NEW IPAJA RD-IYANAIPAJA-LAGOS,286.031,256.5,0.868,226.66905,1.066,250,"下滑店,补偿一半",-12.596886351479386
